"","sim","fold","alg","r","lhat"
"382","TCGA","3","rrLDA","26","0.170212765957447"
"383","TCGA","3","rrLDA","29","0.170212765957447"
"384","TCGA","3","rrLDA","31","0.170212765957447"
"385","TCGA","3","rrLDA","34","0.170212765957447"
"386","TCGA","3","rrLDA","36","0.170212765957447"
"387","TCGA","3","rrLDA","39","0.170212765957447"
"388","TCGA","3","rrLDA","43","0.170212765957447"
"389","TCGA","3","rrLDA","46","0.170212765957447"
"390","TCGA","3","rrLDA","50","0.170212765957447"
"391","TCGA","4","rrLDA","1","0.195652173913043"
"392","TCGA","4","rrLDA","2","0.195652173913043"
"393","TCGA","4","rrLDA","3","0.195652173913043"
"394","TCGA","4","rrLDA","4","0.195652173913043"
"395","TCGA","4","rrLDA","5","0.195652173913043"
"396","TCGA","4","rrLDA","6","0.195652173913043"
"397","TCGA","4","rrLDA","7","0.195652173913043"
"398","TCGA","4","rrLDA","8","0.195652173913043"
"399","TCGA","4","rrLDA","9","0.195652173913043"
"400","TCGA","4","rrLDA","10","0.195652173913043"
"401","TCGA","4","rrLDA","11","0.195652173913043"
"402","TCGA","4","rrLDA","12","0.195652173913043"
"403","TCGA","4","rrLDA","13","0.195652173913043"
"404","TCGA","4","rrLDA","14","0.195652173913043"
"405","TCGA","4","rrLDA","15","0.195652173913043"
"406","TCGA","4","rrLDA","16","0.195652173913043"
"407","TCGA","4","rrLDA","18","0.195652173913043"
"408","TCGA","4","rrLDA","19","0.195652173913043"
"409","TCGA","4","rrLDA","21","0.195652173913043"
"410","TCGA","4","rrLDA","23","0.195652173913043"
"411","TCGA","4","rrLDA","24","0.195652173913043"
"412","TCGA","4","rrLDA","26","0.195652173913043"
"413","TCGA","4","rrLDA","29","0.195652173913043"
"414","TCGA","4","rrLDA","31","0.195652173913043"
"415","TCGA","4","rrLDA","34","0.195652173913043"
"416","TCGA","4","rrLDA","36","0.195652173913043"
"417","TCGA","4","rrLDA","39","0.195652173913043"
"418","TCGA","4","rrLDA","43","0.195652173913043"
"419","TCGA","4","rrLDA","46","0.195652173913043"
"420","TCGA","4","rrLDA","50","0.195652173913043"
"421","TCGA","5","rrLDA","1","0.195652173913043"
"422","TCGA","5","rrLDA","2","0.195652173913043"
"423","TCGA","5","rrLDA","3","0.195652173913043"
"424","TCGA","5","rrLDA","4","0.195652173913043"
"425","TCGA","5","rrLDA","5","0.195652173913043"
"426","TCGA","5","rrLDA","6","0.195652173913043"
"427","TCGA","5","rrLDA","7","0.195652173913043"
"428","TCGA","5","rrLDA","8","0.195652173913043"
"429","TCGA","5","rrLDA","9","0.195652173913043"
"430","TCGA","5","rrLDA","10","0.195652173913043"
"431","TCGA","5","rrLDA","11","0.195652173913043"
"432","TCGA","5","rrLDA","12","0.195652173913043"
"433","TCGA","5","rrLDA","13","0.195652173913043"
